7;G1 G;1600352045125;1600352045181;1600352045181;1600352045209
6;F1 C;1600352045125;1600352045180;1600352045181;1600352045209
9;A2 H;1600352045204;1600352045206;1600352045206;1600352045306
1;H1 G;1600352045059;1600352045117;1600352045168;1600352045306
10;C2 B;1600352045204;1600352045206;1600352045207;1600352045307
5;B1 E;1600352045125;1600352045175;1600352045180;1600352045455
11;H2 B;1600352045206;1600352045207;1600352045208;1600352045669
2;D1 A;1600352045117;1600352045168;1600352045208;1600352045771
12;F2 F;1600352045206;1600352045207;1600352045209;1600352045796
3;E1 H;1600352045121;1600352045168;1600352045209;1600352045939
4;A1 H;1600352045123;1600352045169;1600352045210;1600352046232
14;E2 F;1600352045207;1600352045279;1600352045283;1600352046442
15;E3 D;1600352045278;1600352045281;1600352045285;1600352046532
18;F3 G;1600352045281;1600352045286;1600352045455;1600352046688
8;C1 G;1600352045125;1600352045206;1600352045592;1600352046767
17;D2 B;1600352045281;1600352045286;1600352045669;1600352046914
20;E4 D;1600352045325;1600352045341;1600352045697;1600352046973
23;B3 F;1600352045346;1600352045348;1600352045771;1600352047042
21;A3 C;1600352045338;1600352045344;1600352045791;1600352047273
24;C3 A;1600352045348;1600352045354;1600352045796;1600352047398
13;B2 H;1600352045206;1600352045207;1600352045899;1600352047433
26;G3 H;1600352045366;1600352045409;1600352045939;1600352047591
16;H3 E;1600352045278;1600352045285;1600352046138;1600352047787
25;D3 G;1600352045354;1600352045394;1600352046232;1600352047889
29;D4 E;1600352045417;1600352045678;1600352046434;1600352047951
19;G2 C;1600352045282;1600352045325;1600352046442;1600352048071
30;H4 E;1600352045425;1600352045697;1600352046488;1600352048426
22;F4 H;1600352045343;1600352045346;1600352046531;1600352048506
28;A4 D;1600352045409;1600352045592;1600352046644;1600352048556
27;B4 G;1600352045394;1600352045455;1600352046686;1600352048576
32;F5 B;1600352045472;1600352045791;1600352046743;1600352048789
33;C4 C;1600352045474;1600352045796;1600352046767;1600352048896
35;D5 A;1600352045505;1600352045939;1600352046826;1600352048956
31;H5 C;1600352045439;1600352045771;1600352046914;1600352049087
34;E5 A;1600352045475;1600352045899;1600352046915;1600352049195
37;H6 H;1600352045508;1600352046232;1600352046973;1600352049411
43;F7 G;1600352045556;1600352046689;1600352047026;1600352049451
38;B5 G;1600352045514;1600352046434;1600352047042;1600352049539
44;E6 F;1600352045578;1600352046743;1600352047132;1600352049779
36;G4 G;1600352045508;1600352046138;1600352047273;1600352049984
39;A5 C;1600352045523;1600352046442;1600352047358;1600352050037
40;F6 G;1600352045542;1600352046488;1600352047398;1600352050097
47;H8 F;1600352045606;1600352046914;1600352047419;1600352050161
49;G6 A;1600352045644;1600352046973;1600352047433;1600352050463
45;H7 H;1600352045585;1600352046767;1600352047533;1600352050605
42;B6 B;1600352045556;1600352046644;1600352047591;1600352050639
46;G5 D;1600352045590;1600352046826;1600352047735;1600352050724
41;C5 D;1600352045550;1600352046532;1600352047787;1600352050926
48;C6 F;1600352045644;1600352046915;1600352047821;1600352051061
53;B7 E;1600352045682;1600352047273;1600352047889;1600352051127
50;A6 A;1600352045647;1600352047026;1600352047916;1600352051212
51;E7 F;1600352045649;1600352047042;1600352047951;1600352051336
95;D11 G;1600352046767;1600352049984;1600352051133;1600352051463
105;B14 E;1600352047398;1600352050605;1600352051212;1600352051622
104;F15 D;1600352047358;1600352050499;1600352051241;1600352051779
108;A14 F;1600352047533;1600352050670;1600352051336;1600352051951
107;G13 G;1600352047433;1600352050639;1600352051373;1600352052048
112;B15 F;1600352047821;1600352051052;1600352051463;1600352052187
111;C13 A;1600352047787;1600352050926;1600352051595;1600352052396
114;F16 G;1600352047916;1600352051079;1600352051622;1600352052472
106;E14 E;1600352047419;1600352050632;1600352051630;1600352052542
117;H16 G;1600352048071;1600352051212;1600352051779;1600352052775
109;H15 F;1600352047592;1600352050724;1600352051863;1600352052861
110;D13 H;1600352047735;1600352050871;1600352051951;1600352053072
113;E15 G;1600352047889;1600352051061;1600352052009;1600352053264
120;B16 B;1600352048431;1600352051373;1600352052048;1600352053383
115;G14 B;1600352047951;1600352051127;1600352052161;1600352053390
118;C14 E;1600352048335;1600352051241;1600352052187;1600352053440
116;A15 G;1600352047983;1600352051133;1600352052217;1600352053863
119;D14 B;1600352048426;1600352051336;1600352052396;1600352054029
121;E16 E;1600352048506;1600352051463;1600352052418;1600352054257
124;G15 F;1600352048574;1600352051630;1600352052472;1600352054379
122;F17 A;1600352048515;1600352051595;1600352052537;1600352054422
126;C15 A;1600352048778;1600352051863;1600352052542;1600352054455
